popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
74,6,7,4,9,1,1,3,0,0,5,4,1,4
78,6,6,0,9,1,0,4,0,1,2,3,1,4
79,7,7,3,9,2,0,4,0,3,3,4,1,4
76,9,6,5,9,1,3,0,0,0,7,6,1,4
90,7,7,9,9,2,2,2,0,0,6,4,1,4
76,5,6,6,9,2,1,0,0,2,7,4,1,4
76,7,5,0,9,1,2,2,0,2,3,7,1,4
82,6,5,6,8,1,0,3,0,0,5,6,1,4
76,6,9,1,10,2,0,1,0,3,6,7,1,4
76,5,8,0,9,2,0,0,0,1,8,3,1,4
80,6,6,8,9,1,0,0,0,3,5,6,1,4
0,9,5,9,9,2,2,0,0,1,3,6,1,4
76,6,5,4,9,2,0,0,0,0,4,4,1,4
77,3,4,7,9,2,0,2,0,0,5,9,1,4
79,7,5,8,9,1,0,0,0,0,6,4,1,4
75,5,6,8,9,1,3,1,0,2,5,7,1,4
78,8,5,0,9,2,0,0,0,0,2,4,1,4
75,8,6,0,9,2,4,0,0,2,2,7,1,4
79,6,7,8,9,2,0,0,0,1,6,4,1,4
78,5,5,0,10,2,3,2,0,1,6,3,1,4
79,7,7,0,9,2,1,0,0,1,5,3,1,4
77,9,5,0,9,2,3,0,0,1,2,6,1,4
76,8,5,0,9,2,2,1,0,1,1,3,1,4
76,6,6,9,9,2,0,1,0,1,2,4,1,4
77,9,4,6,9,1,0,1,0,1,5,5,1,4
79,5,7,1,10,2,0,0,0,6,3,5,1,4
81,9,5,6,9,1,0,0,0,1,3,5,1,4
79,7,4,8,9,2,0,1,0,1,4,5,1,4
79,5,7,0,9,2,0,0,0,1,2,6,1,4
78,7,6,4,9,1,0,0,0,1,4,4,1,4
77,8,7,0,9,2,1,0,0,3,5,4,1,4
77,7,6,6,10,1,1,3,0,1,5,4,1,4
80,6,7,8,9,1,9,1,0,1,6,8,1,4
75,7,7,7,9,1,0,2,0,0,4,5,1,4
77,7,7,0,9,2,1,2,0,1,7,4,1,4
83,7,5,6,9,1,0,0,0,1,6,6,1,4
78,7,8,1,9,2,2,0,0,1,8,7,1,4
86,6,7,4,9,1,0,1,0,1,3,5,1,4
83,7,8,8,10,1,0,0,0,1,6,5,1,4
81,5,4,3,8,1,0,0,0,1,3,4,1,4
74,6,8,8,9,1,3,3,0,1,4,7,1,4
0,7,8,4,9,1,1,0,0,1,5,2,1,4
0,7,8,0,10,1,0,0,0,0,7,6,1,4
89,8,6,5,10,2,1,3,0,0,7,4,1,4
88,6,6,9,9,1,3,1,0,3,8,5,1,5
76,7,5,0,9,2,5,1,0,1,4,6,1,4
75,9,6,0,9,2,2,0,0,0,6,4,1,4
